# Example observations for examples/minimal_figure. One row per run: x = trainable
# parameters, y = a score. Synthetic and seeded (numpy default_rng(20260720)) - this is
# a framework example, not a scientific result. make_figure derives mean +/- std per x.
x	y	run
50	0.3876699577565922	0
50	0.4506833481166692	1
50	0.465972172978261	2
50	0.47294516656439334	3
50	0.4676076495712866	4
50	0.41018228954442465	5
50	0.5060517889900551	6
50	0.427295874782851	7
100	0.48251157163300984	0
100	0.47926187829478056	1
100	0.4469220279523388	2
100	0.4590408591442082	3
100	0.49938231245285314	4
100	0.5046759764446593	5
100	0.4580411583964622	6
100	0.5168064244807993	7
200	0.5335385905872168	0
200	0.5779767708398783	1
200	0.5131589991987179	2
200	0.5102629164452958	3
200	0.5423654249180486	4
200	0.513972146865373	5
200	0.5276508680629183	6
200	0.5525755381578354	7
400	0.605941880563704	0
400	0.6683599310973762	1
400	0.5904688489900816	2
400	0.5806468236271609	3
400	0.6106204776312403	4
400	0.6289266537404884	5
400	0.6724167425080748	6
400	0.5788801196299742	7
800	0.7403501280845172	0
800	0.762723250522612	1
800	0.7157401827588402	2
800	0.7698023751195677	3
800	0.7525720289464706	4
800	0.7534328776772372	5
800	0.694226765163074	6
800	0.6566292137743354	7
1600	0.8656911341042611	0
1600	0.7866990732578444	1
1600	0.8145326391510118	2
1600	0.8106212851836743	3
1600	0.764200535473655	4
1600	0.7741290521900093	5
1600	0.822722323133007	6
1600	0.8436653349398874	7
3200	0.7678333431440367	0
3200	0.8982088824684047	1
3200	0.9043290517456557	2
3200	0.8752964137016052	3
3200	0.8566154219359415	4
3200	0.8615242092516219	5
3200	0.758675665483805	6
3200	0.8418868355247503	7
